event,tournament_url,round,group,game_url,white_username,black_username,white_uuid,black_uuid,white_rating,black_rating,target
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591813,nikolakis2014,willi_skibbe,b494ab4e-c416-11e5-805e-000000000000,624572b8-d4ee-11ea-87ff-6d91e78715f1,2799,2446,draw
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591815,viktorskliarov,hannahsaycestreams,cd041d14-50d9-11e5-8038-000000000000,acba0c98-dfa5-11ef-9c11-47ce2ab00207,2806,2378,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591817,flawless_fighter,kasimovr21,7a75eea4-9062-11e7-8058-000000000000,d0963dfe-bddc-11ed-9001-137dd82afe4c,2889,2666,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591819,kz_champ_gm,krzyzan94,7beb7a82-1a0d-11f0-962b-cdad8d7bf74e,8eba77b8-19ea-11e5-801a-000000000000,2635,2862,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591821,szparu,nobodyjeroen,0f94b318-ad58-11e8-804c-000000000000,83f76742-913a-11ea-8f30-9b3af02527dc,2857,2640,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591823,janmur7,vovachesss,87d116c4-d633-11e8-805e-000000000000,2f89a152-727d-11e4-804c-000000000000,2625,2855,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591825,pavle896,joliyroger,09d0704e-4af9-11ea-9c8b-0f5fe61daf75,9330148a-914d-11ea-bce5-79fb359eb6a4,2818,2625,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591827,guillead1,kildepiotr,01d2faa2-a9ed-11e1-801a-000000000000,336d7186-46bf-11e7-8022-000000000000,2621,2823,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591829,rafaelsharon,infiniteflo,81dace2e-ad93-11f0-861f-850e753fb3df,f52d3504-785c-11f0-b120-59ae42de3fc4,2800,2611,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591831,cristianchess19,whiteking2009,b45accac-3f65-11ea-917e-0d6639125b66,4811cf2a-7127-11ea-91c6-5f2413684d02,2580,2813,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591833,miki_gb,emperor87,baaf57d2-8dd4-11e9-8053-0373d289b324,348d35e0-36c5-11e9-afed-b1520b73b40c,2572,2809,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591835,meri-arabidze,ljuks68,7802cb8c-9b5b-11e9-8326-25c78da3cc5a,b73a227a-32ea-11e9-8a98-6da744aa3642,2802,2549,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591837,nastypanda,anasta10,ff00e07a-c188-11e5-8006-000000000000,360978ce-833b-11e1-8035-000000000000,2546,2778,draw
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591839,shahzodbek_2010,akewjon,458b8e38-481c-11ee-9b5d-6b6101dced62,a22b59d4-c5f2-11ea-a753-9d2bf59c8ab2,2526,2779,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591841,battery_chess,speshka,ad5e8ba6-bb9c-11e5-8000-000000000000,d2c0a7a2-6b4d-11ea-91f3-abeba6fee939,2510,2760,draw
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591843,der_balak_3halak,liondinamic,60c43c16-ec02-11ed-92df-17518bbd5b87,077b701e-2b1b-11e8-8012-000000000000,2763,2418,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591845,therabbit19,albadelomass,26f5cef0-d012-11ef-be6b-b36a5ac852bd,3fc3faee-738b-11ef-8596-73c8f652b22f,2686,2377,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591847,enzoferrara,gcamachomartinez,4254ca06-3876-11e3-8030-000000000000,fdec591c-c7f8-11e7-802e-000000000000,2470,2668,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591849,cosmokramer2260,irina_mikhaylova,b3ee9a54-a792-11e7-8008-000000000000,03e6a776-f572-11e3-801c-000000000000,2666,2289,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591851,artin10862,asvz,23c44892-2c6c-11e9-971c-6143cf593070,4a7955b6-537b-11e7-8016-000000000000,3089,2558,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591853,tim1234321,jumbo,4900419e-d48b-11e8-8038-000000000000,84c4302a-a74f-11e6-804a-000000000000,2553,3005,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591855,alex_banzea,metiforce,769048cc-820e-11e3-8002-000000000000,45acd830-aaba-11e9-8fc2-b1abd69122a5,2568,2971,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591857,a-fier,queladri,8d91bd12-80d4-11e2-8000-000000000000,e60390ea-f625-11eb-9ac8-11c00b799e5e,2899,2549,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591859,deenzerz,minisim,ecae09a0-3c69-11eb-97ae-6f3dbf26852e,f10df474-f4da-11e4-805a-000000000000,2545,2864,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591861,ykow2,bencus12,7960f168-63d1-11ef-b247-dfea6762c67c,2a67b56e-9549-11e2-803c-000000000000,2806,2537,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591863,deanklobucar,roseatwell,bea8b94a-db7b-11f0-adf0-2f2d8409e7f8,4dc9e7f6-7737-11eb-b076-257c9e792aa9,2534,2787,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591865,manukyan_artak,georgiossouleidis,76b737ae-b048-11e7-802c-000000000000,73607eb6-7e59-11e1-8015-000000000000,2532,2757,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591867,niviattack,dontmesswiththefish,a00e84ea-976c-11f0-a0fe-f7c87080b921,5b968c38-1f48-11ef-833c-57b85b14fe80,2531,2747,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591869,cartonmaster,karinachess1,4fd47ea8-1de2-11ef-a3b0-e9eede61eec9,2dfc005a-3b6e-11e4-8000-000000000000,2529,2741,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591871,cherneevo_23,allblacksgoat,f6db7d44-6f6d-11ec-a908-bbd3ac0cbf76,98d5adaa-300d-11f0-9989-3b3adc83caf0,2544,2718,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591873,rebeljohnny,sofiia_hryzlova,13f0e2c4-c62b-11e3-801c-000000000000,db4a641a-b737-11e8-800c-000000000000,2733,2523,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591875,fariza2018,witty_alien,469aec6e-974a-11ea-b393-b37b4176a1c1,a0e0c564-621a-11e5-8044-000000000000,2722,2521,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591877,mostafasakha,casper,cd8934ec-c98f-11dc-8001-000000000000,31015404-9022-11e9-98b4-4dc9ef717025,2520,2719,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591879,zoktayyyyfanclubbb,windwhistler11,b0a6d570-d441-11f0-b8db-8f6b706cc267,0ee6d838-a3df-11ed-b2f2-b3d6fa253325,2716,2515,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591881,futurechamp1907,endgamemaster51,b80e755c-ae15-11ed-bc7d-21a4ae1b2c34,00b0df20-d28b-11ef-879b-b14fcbf8d641,2519,2708,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591883,gabber2011,sargissyansargis,65954a10-f9a8-11ed-8c91-81c9caa3633d,168ea35e-4393-11e5-8050-000000000000,2685,2526,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591885,tetrix83,mikhal867,5fbbfd8e-c351-11e7-8014-000000000000,44798cb2-d00b-11e9-b0f9-436a53e3a2c0,2698,2509,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591887,banane_verte,fischerbobbyjames,ec13ec92-53b0-11e9-a5c6-1f5155a3299d,b02d710c-1c86-11ec-97d5-09ce74f9928d,2695,2508,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591889,nbk90,gaidym72,89d6dfd4-f72f-11e5-8032-000000000000,d66b98da-2963-11e9-940a-f3add4f38954,2683,2499,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591891,gasparasprelliok,eleyah,4f3f1f6e-c3e8-11ef-b01e-013d293b52c2,92cd7f66-64b2-11ec-89a4-e57eb169353b,2512,2666,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591893,dimoointheworld,pizzalover2502,4b51aaf6-e706-11f0-a612-b7b11a0a188f,04828fea-e61d-11ef-8507-4390dc4c1d24,2505,2661,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591895,hyuslin,theinfinity011,3c7f3f84-6f66-11ea-8440-c5307dd229f4,845d608a-00fa-11f0-83e6-a5920bbc114d,2505,2660,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591897,vladgoncharov,maurijs,8a783616-28ab-11e5-800e-000000000000,c4ad0708-2e5e-11e6-8026-000000000000,2657,2502,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591899,liusia,francesatop,f3099d34-b82e-11e9-8d1c-a708766c9d27,13ebce30-e9b7-11eb-aeb7-f349694f5fe0,2672,2485,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591901,aamuktha-guntaka,dey2580,f63a2b7c-536e-11f0-8ede-27424006d123,750ce062-0d0d-11e8-8014-000000000000,2495,2655,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591903,il_cavallo_matto,cocosiukas,322f4adc-aedc-11ea-b13e-6f7ad1d9bdc6,05346060-2fae-11ef-86d2-ff736a4cdee5,2653,2493,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591905,sn2022s,gambitgiesbergen,736147d0-7111-11e9-a2c9-95fc7a164d54,df8c8856-9b87-11ea-a08d-6577421c441b,2668,2477,white_win
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591907,nastyahn,saranyadevinarahari,df02191c-22dc-11e8-8000-000000000000,a77f0488-d70b-11ef-be1d-f5ae4d883f09,2645,2486,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591909,bazar-wokzal,marcbarcelo,8e53d6f4-5d70-11e7-8044-000000000000,db634340-f78f-11f0-90ab-1568a0b4420f,2639,2482,white_loss
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591911,arlan_mirzhanov,gh6999,7fadd442-728a-11ea-b07c-418211af1218,fa7cc6f0-4a50-11ee-9774-5d994a4dbf73,2466,2647,draw
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,4,1,https://www.chess.com/game/live/165054591913,kaidanov,tugaychess,4004d77a-d563-11de-8048-000000000000,276da188-7ff7-11f0-b517-a110b2571a06,2655,2458,white_win
