event,tournament_url,tournament_start_time,round,group,game_url,white_username,black_username,white_uuid,black_uuid,white_rating,black_rating,target,white_result_code,black_result_code,fen,eco,end_time,pgn_result,termination
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390659,teresin05,boundless_strike,93e2bcfa-0675-11eb-b6ab-a9d34ea7987c,585337ca-c3ff-11e7-8024-000000000000,2554,2841,white_loss,timeout,win,6q1/P1K5/8/8/8/8/3k4/2r5 w - - 1 58,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Variation,1770743563,0-1,Boundless_Strike won on time
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390661,ykow2,queladri,7960f168-63d1-11ef-b247-dfea6762c67c,e60390ea-f625-11eb-9ac8-11c00b799e5e,2781,2566,white_loss,resigned,win,6k1/6pp/1p1p3P/p2P4/P1P5/1P2r1p1/3n4/5BK1 w - - 0 46,https://www.chess.com/openings/Sicilian-Defense-Taimanov-Variation,1770743461,0-1,QueLadri won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390663,sajid0987654321,safikiet,49ac5a20-8af0-11ea-bb5a-d7085849d6bc,9662d398-3292-11e8-8050-000000000000,2791,2550,white_win,win,resigned,8/8/8/p7/P3k2p/4P2P/5K2/8 b - - 0 49,https://www.chess.com/openings/Kings-Indian-Attack...4.Bg2-Nb4-5.Na3-e6,1770743556,1-0,Sajid0987654321 won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390665,deenzerz,ginger_gm,ecae09a0-3c69-11eb-97ae-6f3dbf26852e,a01fec36-16db-11e3-8046-000000000000,2562,2774,white_win,win,checkmated,5Q2/6Qk/6p1/6P1/8/1PN5/1KP5/8 b - - 0 60,https://www.chess.com/openings/Sicilian-Defense-Open-Dragon-Rauzer-Variation...10.g4-Rc8-11.h4-Ne5,1770743579,1-0,Deenzerz won by checkmate
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390667,nastypanda,georgiossouleidis,ff00e07a-c188-11e5-8006-000000000000,73607eb6-7e59-11e1-8015-000000000000,2538,2749,white_loss,checkmated,win,8/7b/1p6/4kp2/8/8/4r3/K4q2 w - - 6 76,https://www.chess.com/openings/Sicilian-Defense-Smith-Morra-Gambit-2...cxd4-3.Qxd4-Nc6,1770743576,0-1,GeorgiosSouleidis won by checkmate
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390669,bulletteemo,bencus12,e3fef826-8144-11e1-8013-000000000000,2a67b56e-9549-11e2-803c-000000000000,2727,2553,white_loss,checkmated,win,6k1/pR3p2/PP5p/8/4p3/4b3/2r5/4K1q1 w - - 0 41,https://www.chess.com/openings/Reti-Opening-Kings-Indian-Attack...5.b3-Bg7-6.Bb2-O-O,1770743474,0-1,Bencus12 won by checkmate
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390671,allblacksgoat,deanklobucar,98d5adaa-300d-11f0-9989-3b3adc83caf0,bea8b94a-db7b-11f0-adf0-2f2d8409e7f8,2724,2534,white_win,win,resigned,3B1R2/1pk5/1q6/p2p4/1n1bp3/1P4P1/P3Q1KP/8 b - - 7 38,https://www.chess.com/openings/French-Defense-Tarrasch-Closed-Pawn-Center-Variation...9.cxd4-Bb4-10.Kf2-f6-11.Kg2,1770743407,1-0,allblacksGOAT won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390673,fariza2018,niviattack,469aec6e-974a-11ea-b393-b37b4176a1c1,a00e84ea-976c-11f0-a0fe-f7c87080b921,2706,2538,draw,repetition,repetition,8/8/8/8/1pK2p1p/1Pb2BkP/6P1/8 w - - 50 93,https://www.chess.com/openings/Ruy-Lopez-Opening-Jaenisch-Gambit-4.d3-fxe4-5.dxe4-Nf6,1770743546,1/2-1/2,Game drawn by repetition
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390675,zoktayyyyfanclubbb,cartonmaster,b0a6d570-d441-11f0-b8db-8f6b706cc267,4fd47ea8-1de2-11ef-a3b0-e9eede61eec9,2708,2528,white_win,win,timeout,8/7P/6K1/4k1P1/8/8/R6r/8 b - - 2 59,https://www.chess.com/openings/Catalan-Opening-Closed-4...Be7-5.Nf3-O-O-6.Qc2,1770743417,1-0,ZoktayyyyFanClubbb won on time
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390677,yyaroslavchess2010,nitalucian,d190e8f4-518c-11ef-8f41-ff136e74d75d,aeb6ac48-ee70-11ea-a724-ff559958e1ea,2706,2524,white_win,win,checkmated,R7/kB3Rpr/1p6/4r1p1/6P1/8/PPP5/1K6 b - - 7 37,https://www.chess.com/openings/Pirc-Defense...7.O-O-O-Nd7-8.f4-exf4,1770743452,1-0,Yyaroslavchess2010 won by checkmate
